 AD
 F( 1 , 1 )=   2.8512000000000000E+04
 F( 11 , 4 )=  0.0000000000000000E+000
 F( 12 , 4 )=  0.0000000000000000E+000
 F( 13 , 4 )=  0.0000000000000000E+000
 F( 14 , 4 )=   1.2060000000000000E+03
 F( 15 , 4 )=  0.0000000000000000E+000
 F( 16 , 4 )=  0.0000000000000000E+000
 F( 17 , 4 )=  0.0000000000000000E+000
 F( 18 , 4 )=  0.0000000000000000E+000
 F( 19 , 4 )=  0.0000000000000000E+000
 F( 20 , 4 )=  0.0000000000000000E+000
 F( 21 , 4 )=  0.0000000000000000E+000
 F( 22 , 4 )=  0.0000000000000000E+000
 F( 23 , 4 )=  0.0000000000000000E+000
 F( 24 , 4 )=  0.0000000000000000E+000
 F( 25 , 4 )=  0.0000000000000000E+000
 F( 1 , 5 )=  0.0000000000000000E+000
 F( 2 , 5 )=  0.0000000000000000E+000
 F( 3 , 5 )=   1.4760000000000000E+03
 F( 4 , 5 )=  -1.0728000000000000E+04
 F( 5 , 5 )=   2.8512000000000000E+04
 F( 6 , 5 )=  0.0000000000000000E+000
 F( 7 , 5 )=  0.0000000000000000E+000
 F( 8 , 5 )=  0.0000000000000000E+000
 F( 9 , 5 )=   2.5920000000000000E+03
 F( 10 , 5 )=  -1.0008000000000000E+04
 F( 11 , 5 )=  0.0000000000000000E+000
 F( 12 , 5 )=  0.0000000000000000E+000
 F( 13 , 5 )=  0.0000000000000000E+000
 F( 14 , 5 )=  0.0000000000000000E+000
 F( 15 , 5 )=   1.1160000000000000E+03
 F( 16 , 5 )=  0.0000000000000000E+000
 F( 17 , 5 )=  0.0000000000000000E+000
 F( 18 , 5 )=  0.0000000000000000E+000
 F( 19 , 5 )=  0.0000000000000000E+000
 F( 20 , 5 )=  0.0000000000000000E+000
 F( 21 , 5 )=  0.0000000000000000E+000
 F( 22 , 5 )=  0.0000000000000000E+000
 F( 23 , 5 )=  0.0000000000000000E+000
 F( 24 , 5 )=  0.0000000000000000E+000
 F( 25 , 5 )=  0.0000000000000000E+000
 F( 1 , 6 )=  -1.0158000000000000E+04
 F( 2 , 6 )=   2.3820000000000000E+03
 F( 3 , 6 )=  0.0000000000000000E+000
 F( 4 , 6 )=  0.0000000000000000E+000
 F( 5 , 6 )=  0.0000000000000000E+000
 F( 6 , 6 )=   2.7166000000000000E+04
 F( 7 , 6 )=  -1.0068000000000000E+04
 F( 8 , 6 )=   1.2060000000000000E+03
 F( 9 , 6 )=  0.0000000000000000E+000
 F( 10 , 6 )=  0.0000000000000000E+000
 F( 11 , 6 )=  -1.0778000000000000E+04
 F( 12 , 6 )=   2.6820000000000000E+03
 F( 13 , 6 )=  0.0000000000000000E+000
 F( 14 , 6 )=  0.0000000000000000E+000
 F( 15 , 6 )=  0.0000000000000000E+000
 F( 16 , 6 )=   1.4560000000000000E+03
 F( 17 , 6 )=  0.0000000000000000E+000
 F( 18 , 6 )=  0.0000000000000000E+000
 F( 19 , 6 )=  0.0000000000000000E+000
 F( 20 , 6 )=  0.0000000000000000E+000
 F( 21 , 6 )=  0.0000000000000000E+000
 F( 22 , 6 )=  0.0000000000000000E+000
 F( 23 , 6 )=  0.0000000000000000E+000
 F( 24 , 6 )=  0.0000000000000000E+000
 F( 25 , 6 )=  0.0000000000000000E+000
 F( 1 , 7 )=   2.5920000000000000E+03
 F( 2 , 7 )=  -1.0188000000000000E+04
 F( 3 , 7 )=   2.4120000000000000E+03
 F( 4 , 7 )=  0.0000000000000000E+000
 F( 5 , 7 )=  0.0000000000000000E+000
 F( 6 , 7 )=  -1.0548000000000000E+04
 F( 7 , 7 )=   2.5920000000000000E+04
 F( 8 , 7 )=  -1.0028000000000000E+04
 F( 9 , 7 )=   1.2160000000000000E+03
 F( 10 , 7 )=  0.0000000000000000E+000
 F( 11 , 7 )=   2.7720000000000000E+03
 F( 12 , 7 )=  -1.0708000000000000E+04
 F( 13 , 7 )=   2.5920000000000000E+03
 F( 14 , 7 )=  0.0000000000000000E+000
 F( 15 , 7 )=  0.0000000000000000E+000
 F( 16 , 7 )=  0.0000000000000000E+000
 F( 17 , 7 )=   1.3760000000000000E+03
 F( 18 , 7 )=  0.0000000000000000E+000
 F( 19 , 7 )=  0.0000000000000000E+000
 F( 20 , 7 )=  0.0000000000000000E+000
 F( 21 , 7 )=  0.0000000000000000E+000
 F( 22 , 7 )=  0.0000000000000000E+000
 F( 23 , 7 )=  0.0000000000000000E+000
 F( 24 , 7 )=  0.0000000000000000E+000
 F( 25 , 7 )=  0.0000000000000000E+000
 F( 1 , 8 )=  0.0000000000000000E+000
 F( 2 , 8 )=   2.7020000000000000E+03
 F( 3 , 8 )=  -1.0368000000000000E+04
 F( 4 , 8 )=   2.4820000000000000E+03
 F( 5 , 8 )=  0.0000000000000000E+000
 F( 6 , 8 )=   1.3460000000000000E+03
 F( 7 , 8 )=  -1.0668000000000000E+04
 F( 8 , 8 )=   2.5920000000000000E+04
 F( 9 , 8 )=  -1.0068000000000000E+04
 F( 10 , 8 )=   1.2460000000000000E+03
 F( 11 , 8 )=  0.0000000000000000E+000
 F( 12 , 8 )=   2.6820000000000000E+03
 F( 13 , 8 )=  -1.0368000000000000E+04
 F( 14 , 8 )=   2.5020000000000000E+03
 F( 15 , 8 )=  0.0000000000000000E+000
 F( 16 , 8 )=  0.0000000000000000E+000
 F( 17 , 8 )=  0.0000000000000000E+000
 F( 18 , 8 )=   1.2960000000000000E+03
 F( 19 , 8 )=  0.0000000000000000E+000
 F( 20 , 8 )=  0.0000000000000000E+000
 F( 21 , 8 )=  0.0000000000000000E+000
 F( 22 , 8 )=  0.0000000000000000E+000
 F( 23 , 8 )=  0.0000000000000000E+000
 F( 24 , 8 )=  0.0000000000000000E+000
 F( 25 , 8 )=  0.0000000000000000E+000
 F( 1 , 9 )=  0.0000000000000000E+000
 F( 2 , 9 )=  0.0000000000000000E+000
 F( 3 , 9 )=   2.7720000000000000E+03
 F( 4 , 9 )=  -1.0548000000000000E+04
 F( 5 , 9 )=   2.5920000000000000E+03
 F( 6 , 9 )=  0.0000000000000000E+000
 F( 7 , 9 )=   1.3760000000000000E+03
 F( 8 , 9 )=  -1.0708000000000000E+04
 F( 9 , 9 )=   2.5920000000000000E+04
 F( 10 , 9 )=  -1.0188000000000000E+04
 F( 11 , 9 )=  0.0000000000000000E+000
 F( 12 , 9 )=  0.0000000000000000E+000
 F( 13 , 9 )=   2.5920000000000000E+03
 F( 14 , 9 )=  -1.0028000000000000E+04
 F( 15 , 9 )=   2.4120000000000000E+03
 F( 16 , 9 )=  0.0000000000000000E+000
 F( 17 , 9 )=  0.0000000000000000E+000
 F( 18 , 9 )=  0.0000000000000000E+000
 F( 19 , 9 )=   1.2160000000000000E+03
 F( 20 , 9 )=  0.0000000000000000E+000
 F( 21 , 9 )=  0.0000000000000000E+000
 F( 22 , 9 )=  0.0000000000000000E+000
 F( 23 , 9 )=  0.0000000000000000E+000
 F( 24 , 9 )=  0.0000000000000000E+000
 F( 25 , 9 )=  0.0000000000000000E+000
 F( 1 , 10 )=  0.0000000000000000E+000
 F( 2 , 10 )=  0.0000000000000000E+000
 F( 3 , 10 )=  0.0000000000000000E+000
 F( 4 , 10 )=   2.8020000000000000E+03
 F( 5 , 10 )=  -1.0578000000000000E+04
 F( 6 , 10 )=  0.0000000000000000E+000
 F( 7 , 10 )=  0.0000000000000000E+000
 F( 8 , 10 )=   1.3860000000000000E+03
 F( 9 , 10 )=  -1.0668000000000000E+04
 F( 10 , 10 )=   2.7266000000000000E+04
 F( 11 , 10 )=  0.0000000000000000E+000
 F( 12 , 10 )=  0.0000000000000000E+000
 F( 13 , 10 )=  0.0000000000000000E+000
 F( 14 , 10 )=   2.5020000000000000E+03
 F( 15 , 10 )=  -9.9580000000000000E+03
 F( 16 , 10 )=  0.0000000000000000E+000
 F( 17 , 10 )=  0.0000000000000000E+000
 F( 18 , 10 )=  0.0000000000000000E+000
 F( 19 , 10 )=  0.0000000000000000E+000
 F( 20 , 10 )=   1.1360000000000000E+03
 F( 21 , 10 )=  0.0000000000000000E+000
 F( 22 , 10 )=  0.0000000000000000E+000
 F( 23 , 10 )=  0.0000000000000000E+000
 F( 24 , 10 )=  0.0000000000000000E+000
 F( 25 , 10 )=  0.0000000000000000E+000
 F( 1 , 11 )=   1.1960000000000000E+03
 F( 2 , 11 )=  0.0000000000000000E+000
 F( 3 , 11 )=  0.0000000000000000E+000
 F( 4 , 11 )=  0.0000000000000000E+000
 F( 5 , 11 )=  0.0000000000000000E+000
 F( 6 , 11 )=  -1.0008000000000000E+04
 F( 7 , 11 )=   2.4320000000000000E+03
 F( 8 , 11 )=  0.0000000000000000E+000
 F( 9 , 11 )=  0.0000000000000000E+000
 F( 10 , 11 )=  0.0000000000000000E+000
 F( 11 , 11 )=   2.7216000000000000E+04
 F( 12 , 11 )=  -1.0368000000000000E+04
 F( 13 , 11 )=   1.2960000000000000E+03
 F( 14 , 11 )=  0.0000000000000000E+000
 F( 15 , 11 )=  0.0000000000000000E+000
 F( 16 , 11 )=  -1.0728000000000000E+04
 F( 17 , 11 )=   2.7520000000000000E+03
 F( 18 , 11 )=  0.0000000000000000E+000
 F( 19 , 11 )=  0.0000000000000000E+000
 F( 20 , 11 )=  0.0000000000000000E+000
 F( 21 , 11 )=   1.3960000000000000E+03
 F( 22 , 11 )=  0.0000000000000000E+000
 F( 23 , 11 )=  0.0000000000000000E+000
 F( 24 , 11 )=  0.0000000000000000E+000
 F( 25 , 11 )=  0.0000000000000000E+000
 F( 1 , 12 )=  0.0000000000000000E+000
 F( 2 , 12 )=   1.2460000000000000E+03
 F( 3 , 12 )=  0.0000000000000000E+000
 F( 4 , 12 )=  0.0000000000000000E+000
 F( 5 , 12 )=  0.0000000000000000E+000
 F( 6 , 12 )=   2.4820000000000000E+03
 F( 7 , 12 )=  -1.0068000000000000E+04
 F( 8 , 12 )=   2.5020000000000000E+03
 F( 9 , 12 )=  0.0000000000000000E+000
 F( 10 , 12 )=  0.0000000000000000E+000
 F( 11 , 12 )=  -1.0368000000000000E+04
 F( 12 , 12 )=   2.5920000000000000E+04
 F( 13 , 12 )=  -1.0368000000000000E+04
 F( 14 , 12 )=   1.2960000000000000E+03
 F( 15 , 12 )=  0.0000000000000000E+000
 F( 16 , 12 )=   2.7020000000000000E+03
 F( 17 , 12 )=  -1.0668000000000000E+04
 F( 18 , 12 )=   2.6820000000000000E+03
 F( 19 , 12 )=  0.0000000000000000E+000
 F( 20 , 12 )=  0.0000000000000000E+000
 F( 21 , 12 )=  0.0000000000000000E+000
 F( 22 , 12 )=   1.3460000000000000E+03
 F( 23 , 12 )=  0.0000000000000000E+000
 F( 24 , 12 )=  0.0000000000000000E+000
 F( 25 , 12 )=  0.0000000000000000E+000
 F( 1 , 13 )=  0.0000000000000000E+000
 F( 2 , 13 )=  0.0000000000000000E+000
 F( 3 , 13 )=   1.2960000000000000E+03
 F( 4 , 13 )=  0.0000000000000000E+000
 F( 5 , 13 )=  0.0000000000000000E+000
 F( 6 , 13 )=  0.0000000000000000E+000
 F( 7 , 13 )=   2.5920000000000000E+03
 F( 8 , 13 )=  -1.0368000000000000E+04
 F( 9 , 13 )=   2.5920000000000000E+03
 F( 10 , 13 )=  0.0000000000000000E+000
 F( 11 , 13 )=   1.2960000000000000E+03
 F( 12 , 13 )=  -1.0368000000000000E+04
 F( 13 , 13 )=   2.5920000000000000E+04
 F( 14 , 13 )=  -1.0368000000000000E+04
 F( 15 , 13 )=   1.2960000000000000E+03
 F( 16 , 13 )=  0.0000000000000000E+000
 F( 17 , 13 )=   2.5920000000000000E+03
 F( 18 , 13 )=  -1.0368000000000000E+04
 F( 19 , 13 )=   2.5920000000000000E+03
 F( 20 , 13 )=  0.0000000000000000E+000
 F( 21 , 13 )=  0.0000000000000000E+000
 F( 22 , 13 )=  0.0000000000000000E+000
 F( 23 , 13 )=   1.2960000000000000E+03
 F( 24 , 13 )=  0.0000000000000000E+000
 F( 25 , 13 )=  0.0000000000000000E+000
 F( 1 , 14 )=  0.0000000000000000E+000
 F( 2 , 14 )=  0.0000000000000000E+000
 F( 3 , 14 )=  0.0000000000000000E+000
 F( 4 , 14 )=   1.3460000000000000E+03
 F( 5 , 14 )=  0.0000000000000000E+000
 F( 6 , 14 )=  0.0000000000000000E+000
 F( 7 , 14 )=  0.0000000000000000E+000
 F( 8 , 14 )=   2.6820000000000000E+03
 F( 9 , 14 )=  -1.0668000000000000E+04
 F( 10 , 14 )=   2.7020000000000000E+03
 F( 11 , 14 )=  0.0000000000000000E+000
 F( 12 , 14 )=   1.2960000000000000E+03
 F( 13 , 14 )=  -1.0368000000000000E+04
 F( 14 , 14 )=   2.5920000000000000E+04
 F( 15 , 14 )=  -1.0368000000000000E+04
 F( 16 , 14 )=  0.0000000000000000E+000
 F( 17 , 14 )=  0.0000000000000000E+000
 F( 18 , 14 )=   2.5020000000000000E+03
 F( 19 , 14 )=  -1.0068000000000000E+04
 F( 20 , 14 )=   2.4820000000000000E+03
 F( 21 , 14 )=  0.0000000000000000E+000
 F( 22 , 14 )=  0.0000000000000000E+000
 F( 23 , 14 )=  0.0000000000000000E+000
 F( 24 , 14 )=   1.2460000000000000E+03
 F( 25 , 14 )=  0.0000000000000000E+000
 F( 1 , 15 )=  0.0000000000000000E+000
 F( 2 , 15 )=  0.0000000000000000E+000
 F( 3 , 15 )=  0.0000000000000000E+000
 F( 4 , 15 )=  0.0000000000000000E+000
 F( 5 , 15 )=   1.3960000000000000E+03
 F( 6 , 15 )=  0.0000000000000000E+000
 F( 7 , 15 )=  0.0000000000000000E+000
 F( 8 , 15 )=  0.0000000000000000E+000
 F( 9 , 15 )=   2.7520000000000000E+03
 F( 10 , 15 )=  -1.0728000000000000E+04
 F( 11 , 15 )=  0.0000000000000000E+000
 F( 12 , 15 )=  0.0000000000000000E+000
 F( 13 , 15 )=   1.2960000000000000E+03
 F( 14 , 15 )=  -1.0368000000000000E+04
 F( 15 , 15 )=   2.7216000000000000E+04
 F( 16 , 15 )=  0.0000000000000000E+000
 F( 17 , 15 )=  0.0000000000000000E+000
 F( 18 , 15 )=  0.0000000000000000E+000
 F( 19 , 15 )=   2.4320000000000000E+03
 F( 20 , 15 )=  -1.0008000000000000E+04
 F( 21 , 15 )=  0.0000000000000000E+000
 F( 22 , 15 )=  0.0000000000000000E+000
 F( 23 , 15 )=  0.0000000000000000E+000
 F( 24 , 15 )=  0.0000000000000000E+000
 F( 25 , 15 )=   1.1960000000000000E+03
 F( 1 , 16 )=  0.0000000000000000E+000
 F( 2 , 16 )=  0.0000000000000000E+000
 F( 3 , 16 )=  0.0000000000000000E+000
 F( 4 , 16 )=  0.0000000000000000E+000
 F( 5 , 16 )=  0.0000000000000000E+000
 F( 6 , 16 )=   1.1360000000000000E+03
 F( 7 , 16 )=  0.0000000000000000E+000
 F( 8 , 16 )=  0.0000000000000000E+000
 F( 9 , 16 )=  0.0000000000000000E+000
 F( 10 , 16 )=  0.0000000000000000E+000
 F( 11 , 16 )=  -9.9580000000000000E+03
 F( 12 , 16 )=   2.5020000000000000E+03
 F( 13 , 16 )=  0.0000000000000000E+000
 F( 14 , 16 )=  0.0000000000000000E+000
 F( 15 , 16 )=  0.0000000000000000E+000
 F( 16 , 16 )=   2.7266000000000000E+04
 F( 17 , 16 )=  -1.0668000000000000E+04
 F( 18 , 16 )=   1.3860000000000000E+03
 F( 19 , 16 )=  0.0000000000000000E+000
 F( 20 , 16 )=  0.0000000000000000E+000
 F( 21 , 16 )=  -1.0578000000000000E+04
 F( 22 , 16 )=   2.8020000000000000E+03
 F( 23 , 16 )=  0.0000000000000000E+000
 F( 24 , 16 )=  0.0000000000000000E+000
 F( 25 , 16 )=  0.0000000000000000E+000
 F( 1 , 17 )=  0.0000000000000000E+000
 F( 2 , 17 )=  0.0000000000000000E+000
 F( 3 , 17 )=  0.0000000000000000E+000
 F( 4 , 17 )=  0.0000000000000000E+000
 F( 5 , 17 )=  0.0000000000000000E+000
 F( 6 , 17 )=  0.0000000000000000E+000
 F( 7 , 17 )=   1.2160000000000000E+03
 F( 8 , 17 )=  0.0000000000000000E+000
 F( 9 , 17 )=  0.0000000000000000E+000
 F( 10 , 17 )=  0.0000000000000000E+000
 F( 11 , 17 )=   2.4120000000000000E+03
 F( 12 , 17 )=  -1.0028000000000000E+04
 F( 13 , 17 )=   2.5920000000000000E+03
 F( 14 , 17 )=  0.0000000000000000E+000
 F( 15 , 17 )=  0.0000000000000000E+000
 F( 16 , 17 )=  -1.0188000000000000E+04
 F( 17 , 17 )=   2.5920000000000000E+04
 F( 18 , 17 )=  -1.0708000000000000E+04
 F( 19 , 17 )=   1.3760000000000000E+03
 F( 20 , 17 )=  0.0000000000000000E+000
 F( 21 , 17 )=   2.5920000000000000E+03
 F( 22 , 17 )=  -1.0548000000000000E+04
 F( 23 , 17 )=   2.7720000000000000E+03
 F( 24 , 17 )=  0.0000000000000000E+000
 F( 25 , 17 )=  0.0000000000000000E+000
 F( 1 , 18 )=  0.0000000000000000E+000
 F( 2 , 18 )=  0.0000000000000000E+000
 F( 3 , 18 )=  0.0000000000000000E+000
 F( 4 , 18 )=  0.0000000000000000E+000
 F( 5 , 18 )=  0.0000000000000000E+000
 F( 6 , 18 )=  0.0000000000000000E+000
 F( 7 , 18 )=  0.0000000000000000E+000
 F( 8 , 18 )=   1.2960000000000000E+03
 F( 9 , 18 )=  0.0000000000000000E+000
 F( 10 , 18 )=  0.0000000000000000E+000
 F( 11 , 18 )=  0.0000000000000000E+000
 F( 12 , 18 )=   2.5020000000000000E+03
 F( 13 , 18 )=  -1.0368000000000000E+04
 F( 14 , 18 )=   2.6820000000000000E+03
 F( 15 , 18 )=  0.0000000000000000E+000
 F( 16 , 18 )=   1.2460000000000000E+03
 F( 17 , 18 )=  -1.0068000000000000E+04
 F( 18 , 18 )=   2.5920000000000000E+04
 F( 19 , 18 )=  -1.0668000000000000E+04
 F( 20 , 18 )=   1.3460000000000000E+03
 F( 21 , 18 )=  0.0000000000000000E+000
 F( 22 , 18 )=   2.4820000000000000E+03
 F( 23 , 18 )=  -1.0368000000000000E+04
 F( 24 , 18 )=   2.7020000000000000E+03
 F( 25 , 18 )=  0.0000000000000000E+000
 F( 1 , 19 )=  0.0000000000000000E+000
 F( 2 , 19 )=  0.0000000000000000E+000
 F( 3 , 19 )=  0.0000000000000000E+000
 F( 4 , 19 )=  0.0000000000000000E+000
 F( 5 , 19 )=  0.0000000000000000E+000
 F( 6 , 19 )=  0.0000000000000000E+000
 F( 7 , 19 )=  0.0000000000000000E+000
 F( 8 , 19 )=  0.0000000000000000E+000
 F( 9 , 19 )=   1.3760000000000000E+03
 F( 10 , 19 )=  0.0000000000000000E+000
 F( 11 , 19 )=  0.0000000000000000E+000
 F( 12 , 19 )=  0.0000000000000000E+000
 F( 13 , 19 )=   2.5920000000000000E+03
 F( 14 , 19 )=  -1.0708000000000000E+04
 F( 15 , 19 )=   2.7720000000000000E+03
 F( 16 , 19 )=  0.0000000000000000E+000
 F( 17 , 19 )=   1.2160000000000000E+03
 F( 18 , 19 )=  -1.0028000000000000E+04
 F( 19 , 19 )=   2.5920000000000000E+04
 F( 20 , 19 )=  -1.0548000000000000E+04
 F( 21 , 19 )=  0.0000000000000000E+000
 F( 22 , 19 )=  0.0000000000000000E+000
 F( 23 , 19 )=   2.4120000000000000E+03
 F( 24 , 19 )=  -1.0188000000000000E+04
 F( 25 , 19 )=   2.5920000000000000E+03
 F( 1 , 20 )=  0.0000000000000000E+000
 F( 2 , 20 )=  0.0000000000000000E+000
 F( 3 , 20 )=  0.0000000000000000E+000
 F( 4 , 20 )=  0.0000000000000000E+000
 F( 5 , 20 )=  0.0000000000000000E+000
 F( 6 , 20 )=  0.0000000000000000E+000
 F( 7 , 20 )=  0.0000000000000000E+000
 F( 8 , 20 )=  0.0000000000000000E+000
 F( 9 , 20 )=  0.0000000000000000E+000
 F( 10 , 20 )=   1.4560000000000000E+03
 F( 11 , 20 )=  0.0000000000000000E+000
 F( 12 , 20 )=  0.0000000000000000E+000
 F( 13 , 20 )=  0.0000000000000000E+000
 F( 14 , 20 )=   2.6820000000000000E+03
 F( 15 , 20 )=  -1.0778000000000000E+04
 F( 16 , 20 )=  0.0000000000000000E+000
 F( 17 , 20 )=  0.0000000000000000E+000
 F( 18 , 20 )=   1.2060000000000000E+03
 F( 19 , 20 )=  -1.0068000000000000E+04
 F( 20 , 20 )=   2.7166000000000000E+04
 F( 21 , 20 )=  0.0000000000000000E+000
 F( 22 , 20 )=  0.0000000000000000E+000
 F( 23 , 20 )=  0.0000000000000000E+000
 F( 24 , 20 )=   2.3820000000000000E+03
 F( 25 , 20 )=  -1.0158000000000000E+04
 F( 1 , 21 )=  0.0000000000000000E+000
 F( 2 , 21 )=  0.0000000000000000E+000
 F( 3 , 21 )=  0.0000000000000000E+000
 F( 4 , 21 )=  0.0000000000000000E+000
 F( 5 , 21 )=  0.0000000000000000E+000
 F( 6 , 21 )=  0.0000000000000000E+000
 F( 7 , 21 )=  0.0000000000000000E+000
 F( 8 , 21 )=  0.0000000000000000E+000
 F( 9 , 21 )=  0.0000000000000000E+000
 F( 10 , 21 )=  0.0000000000000000E+000
 F( 11 , 21 )=   1.1160000000000000E+03
 F( 12 , 21 )=  0.0000000000000000E+000
 F( 13 , 21 )=  0.0000000000000000E+000
 F( 14 , 21 )=  0.0000000000000000E+000
 F( 15 , 21 )=  0.0000000000000000E+000
 F( 16 , 21 )=  -1.0008000000000000E+04
 F( 17 , 21 )=   2.5920000000000000E+03
 F( 18 , 21 )=  0.0000000000000000E+000
 F( 19 , 21 )=  0.0000000000000000E+000
 F( 20 , 21 )=  0.0000000000000000E+000
 F( 21 , 21 )=   2.8512000000000000E+04
 F( 22 , 21 )=  -1.0728000000000000E+04
 F( 23 , 21 )=   1.4760000000000000E+03
 F( 24 , 21 )=  0.0000000000000000E+000
 F( 25 , 21 )=  0.0000000000000000E+000
 F( 1 , 22 )=  0.0000000000000000E+000
 F( 2 , 22 )=  0.0000000000000000E+000
 F( 3 , 22 )=  0.0000000000000000E+000
 F( 4 , 22 )=  0.0000000000000000E+000
 F( 5 , 22 )=  0.0000000000000000E+000
 F( 6 , 22 )=  0.0000000000000000E+000
 F( 7 , 22 )=  0.0000000000000000E+000
 F( 8 , 22 )=  0.0000000000000000E+000
 F( 9 , 22 )=  0.0000000000000000E+000
 F( 10 , 22 )=  0.0000000000000000E+000
 F( 11 , 22 )=  0.0000000000000000E+000
 F( 12 , 22 )=   1.2060000000000000E+03
 F( 13 , 22 )=  0.0000000000000000E+000
 F( 14 , 22 )=  0.0000000000000000E+000
 F( 15 , 22 )=  0.0000000000000000E+000
 F( 16 , 22 )=   2.3820000000000000E+03
 F( 17 , 22 )=  -1.0068000000000000E+04
 F( 18 , 22 )=   2.6820000000000000E+03
 F( 19 , 22 )=  0.0000000000000000E+000
 F( 20 , 22 )=  0.0000000000000000E+000
 F( 21 , 22 )=  -1.0158000000000000E+04
 F( 22 , 22 )=   2.7166000000000000E+04
 F( 23 , 22 )=  -1.0778000000000000E+04
 F( 24 , 22 )=   1.4560000000000000E+03
 F( 25 , 22 )=  0.0000000000000000E+000
 F( 1 , 23 )=  0.0000000000000000E+000
 F( 2 , 23 )=  0.0000000000000000E+000
 F( 3 , 23 )=  0.0000000000000000E+000
 F( 4 , 23 )=  0.0000000000000000E+000
 F( 5 , 23 )=  0.0000000000000000E+000
